m022,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -372.995 0.548 -1.747 5874.934 5875.936,  1:06:28.5 0 -0:00:25.3 -0:02:26.8 -0:00:06.2 0:00:38.6 -0:05:52.4 0:01:54.6,  1.22
m023,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -322.301 -142.1845 -0.573 5872.105 5873.709,  -0:02:52.8 0 -0:00:33.2 -0:05:34.5 0:00:07.6 0:00:20.8 -0:07:17.4 0:01:02.4,  1.22
m024,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -351.0375 150.089 -2.5575 5871.178 5872.254,  -0:02:52.8 0 -0:00:33.2 -0:05:34.5 0:00:07.6 0:00:20.8 -0:07:17.4 0:01:02.4,  1.22
m025,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -181.97 225.617 -2.335 5873.897 5874.035,  -0:00:25.8 0 -0:01:43.0 -0:01:02.8 0 -0:00:40.2 0:02:19.5 -0:00:11.3,  1.22
m026,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -98.9955 17.044 -0.591 5869.451 5871.315,  -0:08:18.3 0 -0:03:41.1 -0:07:22.6 0:00:06.6 -0:00:12.7 -0:05:41.0 0:01:02.9,  1.22
m027,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  40.478 -23.1155 0.2815 5865.756 5866.846,  -0:02:40.8 0 0:13:36.2 0:12:16.4 -0:00:02.6 -0:00:17.1 -0:05:28.3 -0:00:57.8,  1.22
m028,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -51.1715 -87.1695 0.229 5870.798 5872.664,  0:12:29.1 0 -0:01:23.1 -0:01:05.0 -0:00:05.8 -0:00:08.0 -0:00:53.8 0:01:27.9,  1.22
m029,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -88.755 -124.1115 0.3085 5874.599 5876.192,  -0:08:46.4 0 -0:01:26.6 -0:00:32.5 -0:00:11.8 0:00:18.7 0:00:36.5 0:01:05.1,  1.22
m030,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  171.289 113.947 -0.1105 5866.179 5867.178,  1:03:21.2 0 -0:02:51.7 -0:11:51.4 -0:00:04.3 -0:00:19.6 -0:11:18.2 0:02:16.8,  1.22
m031,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  246.573 93.7565 0.065 5868.193 5869.797,  -0:41:56.1 0 0:04:12.6 0:13:03.8 -0:00:07.6 0:00:19.0 -0:19:06.9 0:01:29.0,  1.22
m032,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  461.2865 175.5055 -0.0355 5864.861 5865.577,  0:35:45.5 0 -0:01:58.2 0:02:20.6 0:00:07.4 -0:00:36.1 -0:03:30.0 0:02:12.2,  1.22
m033,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  580.7005 863.958 -3.809 5850.667 5852.17,  0:42:33.1 0 -0:01:10.6 -0:08:38.0 0:00:12.9 -0:00:46.4 -0:21:32.8 0:01:33.7,  1.22
m034,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  357.8205 -28.309 1.573 5859.104 5860.723,  0:09:22.0 0 -0:02:15.0 -0:07:20.8 0:00:27.0 0:00:48.0 -0:11:43.9 0:00:44.8,  1.22
m035,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  386.1655 -180.8965 2.888 5855.376 5856.245,  1:41:45.5 0 -0:00:14.0 -0:00:12.3 0:00:46.3 -0:00:36.2 -0:21:47.5 0:01:37.8,  1.22
m036,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  388.265 -290.762 3.4135 5856.404 5857.4,  0:23:07.1 0 0:07:14.1 0:04:09.2 -0:00:23.9 -0:01:05.7 -0:11:04.8 0:01:25.9,  1.22
m037,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  380.2895 -459.3075 4.78 5863.721 5864.597,  0:25:52.7 0 0:00:37.4 -0:03:29.9 0:00:25.9 -0:00:22.1 -0:08:15.7 0:01:24.7,  1.22
m038,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  213.313 -569.0825 4.542 5871.115 5872.117,  0:06:17.5 0 -0:00:47.1 0:00:15.0 0:00:03.0 -0:00:07.3 0:04:40.4 0:03:23.1,  1.22
m039,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  253.749 -592.1475 5.0315 5872.333 5873.763,  1:00:37.7 0 0:01:47.6 0:03:57.1 0:00:42.0 -0:00:38.6 -0:02:03.4 0:01:49.2,  1.22
m040,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -26.8515 -712.219 4.4355 5875.653 5876.424,  0:32:01.1 0 -0:00:17.6 -0:00:55.4 0:00:08.8 -0:00:17.5 -0:03:39.7 -0:00:03.3,  1.22
m041,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -287.5405 -661.6775 2.5565 5888.778 5889.533,  0:08:05.8 0 -0:00:09.6 0:03:44.9 0:00:22.3 -0:00:01.6 0:08:53.8 0:01:56.9,  1.22
m042,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -361.709 -460.317 1.0945 5868.148 5870.029,  -0:08:57.6 0 -0:00:54.1 -0:02:02.4 0:00:16.2 0:00:02.0 -0:01:39.1 0:01:29.0,  1.22
m043,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -629.8435 -128.325 -2.1295 5856.073 5857.703,  0:22:45.1 0 0:00:47.5 0:01:15.8 0:00:42.3 -0:00:06.0 -0:10:24.5 0:02:10.9,  1.22
m044,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -896.15 600.504 -8.035 5867.43 5868.189,  -0:10:12.5 0 0:00:12.0 -0:00:03.5 0:00:20.2 -0:00:02.3 -0:03:00.2 0:01:26.3,  1.22
m045,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -1832.849 266.753 -7.2595 5873.565 5874.716,  -0:18:03.4 0 -0:03:41.9 -0:04:25.4 -0:00:08.3 0:00:25.7 -0:17:41.1 -0:00:06.8,  1.22
m046,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -1467.3265 1751.927 -14.4575 5861.403 5861.772,  0:02:35.2 0 0:00:13.4 -0:01:11.2 0:00:12.4 -0:00:09.7 0:05:34.2 0:01:40.6,  1.22
m047,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -578.287 -517.293 0.229 5867.784 5868.561,  0:47:36.0 0 -0:01:28.3 -0:02:55.2 0:00:11.0 -0:00:00.9 0:00:01.1 0:01:39.9,  1.22
m048,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -2805.627 2686.877 -17.1145 5868.983 5869.731,  1:22:26.1 0 0:00:00.4 0:03:11.3 -0:01:45.4 0:01:30.1 -0:00:03.2 0:00:59.6,  1.22
m049,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -3605.9465 436.482 -4.654 5903.491 5903.763,  -0:03:20.0 0 -0:09:04.3 -0:02:24.3 -0:00:27.3 0:02:13.9 -0:08:09.6 0:01:14.3,  1.22
m050,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -2052.3315 -843.701 -2.033 5885.963 5887.567,  0:21:39.5 0 0:03:40.3 0:02:10.8 0:01:07.1 0:00:42.9 -0:11:07.6 0:01:11.9,  1.22
m051,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -850.254 -769.3555 0.216 5870.33 5871.214,  -0:26:02.0 0 -0:01:20.2 -0:00:49.2 0:01:06.9 -0:00:02.9 -0:14:31.1 0:02:37.6,  1.22
m052,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -593.1855 -1148.65 3.1635 5862.139 5862.887,  1:19:56.2 0 0:04:10.4 0:08:36.9 0:01:01.3 0:00:14.6 0:00:43.1 0:00:59.4,  1.22
m053,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  9.3665 -1304.461 7.6165 5898.297 5879.68,  0:04:09.5 0 -0:00:28.0 0:02:14.6 -0:00:14.6 0:01:08.9 0:08:59.8 0:00:45.0,  1.22
m054,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  871.9815 -499.814 5.943 5880.501 5881.515,  0:08:22.2 0 -0:00:24.9 0:03:29.8 -0:00:02.9 -0:00:48.3 0:06:55.9 0:01:56.6,  1.22
m055,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  1201.794 96.488 2.6205 5851.065 5852.054,  0:11:16.5 0 0:06:25.3 0:03:51.0 0:00:50.8 -0:01:25.5 0:06:01.1 0:00:39.9,  1.22
m056,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  1598.411 466.662 -0.4145 5853.659 5854.17,  -0:22:03.5 0 0:02:48.2 0:10:43.2 0:00:05.8 -0:01:17.5 -0:03:40.7 -0:00:29.6,  1.22
m057,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  294.693 3259.9135 -18.063 5855.239 5856.731,  -0:08:42.8 0 -0:02:55.2 -0:02:08.5 -0:02:04.1 -0:00:24.9 -0:40:17.1 0:00:18.4,  1.22
m058,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  2805.7905 2686.8635 -11.086 5870.582 5872.173,  0:04:40.5 0 -0:01:56.8 -0:04:59.2 -0:01:48.8 -0:01:42.0 -0:02:40.6 0:00:01.0,  1.22
m059,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  3686.448 758.865 4.3625 5863.443 5865.037,  0:46:33.6 0 0:00:51.0 -0:00:39.9 -0:00:33.6 -0:02:00.8 -0:03:45.2 -0:01:25.5,  1.22
m060,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  3419.684 -1840.505 16.2585 5875.233 5876.1,  -0:36:15.0 0 0:00:49.2 0:02:42.1 0:01:29.6 -0:02:00.3 -0:10:22.3 0:00:40.2,  1.22
m061,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -16.4025 -2323.78 13.906 5876.273 5876.553,  0:38:27.9 0 -0:01:56.6 -0:04:45.6 0:01:16.1 0:00:15.0 0:08:40.8 0:01:46.9,  1.22
m062,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -1440.6315 -2503.767 14.277 5933.954 5935.741,  -0:15:23.0 0 0:00:04.6 -0:03:30.4 0:01:12.2 0:00:37.5 0:00:15.6 0:01:11.8,  1.22
m063,  -30:42:39.8,  21:26:38.0,  1035.0,  13.5,  -3419.574 -1840.462 9.022 5685.012 5686.161,  -0:59:43.2 0 0:01:58.6 0:01:49.8 0:01:23.3 0:02:04.6 -0:08:15.7 0:03:47.1,  1.22
